crew,camera,week,day_index,capture_datetime,filename,n_workers,verdict,helmet_rate,vest_rate,gloves_rate,boots_rate
crew_a,CAM-A1,1,0,2026-06-01 14:32:00,2026-06-01_14-32_compliant.jpg,5,compliant,1.0,1.0,1.0,1.0
crew_a,CAM-A1,1,0,2026-06-01 13:35:00,2026-06-01_13-35_noncompliant.jpg,3,noncompliant,0.6666666666666666,1.0,1.0,1.0
crew_a,CAM-A1,1,1,2026-06-02 16:44:00,2026-06-02_16-44_noncompliant.jpg,5,noncompliant,1.0,1.0,1.0,0.8
crew_a,CAM-A1,1,1,2026-06-02 10:20:00,2026-06-02_10-20_noncompliant.jpg,6,noncompliant,0.8333333333333334,1.0,0.8333333333333334,0.8333333333333334
crew_a,CAM-A1,1,1,2026-06-02 13:44:00,2026-06-02_13-44_compliant.jpg,4,compliant,1.0,1.0,1.0,1.0
crew_a,CAM-A1,1,1,2026-06-02 15:45:00,2026-06-02_15-45_noncompliant.jpg,6,noncompliant,1.0,1.0,1.0,0.8333333333333334
crew_a,CAM-A1,1,2,2026-06-03 09:55:00,2026-06-03_09-55_noncompliant.jpg,5,noncompliant,1.0,1.0,0.8,1.0
crew_a,CAM-A1,1,2,2026-06-03 10:00:00,2026-06-03_10-00_noncompliant.jpg,6,noncompliant,1.0,0.8333333333333334,0.8333333333333334,1.0
crew_a,CAM-A1,1,2,2026-06-03 11:13:00,2026-06-03_11-13_noncompliant.jpg,4,noncompliant,1.0,0.75,1.0,1.0
crew_a,CAM-A1,1,3,2026-06-04 11:53:00,2026-06-04_11-53_noncompliant.jpg,6,noncompliant,1.0,0.8333333333333334,0.8333333333333334,0.6666666666666666
crew_a,CAM-A1,1,3,2026-06-04 16:44:00,2026-06-04_16-44_noncompliant.jpg,4,noncompliant,1.0,0.75,0.75,0.75
crew_a,CAM-A1,1,3,2026-06-04 13:05:00,2026-06-04_13-05_compliant.jpg,4,compliant,1.0,1.0,1.0,1.0
crew_a,CAM-A1,1,4,2026-06-05 08:41:00,2026-06-05_08-41_noncompliant.jpg,5,noncompliant,1.0,0.8,0.8,1.0
crew_a,CAM-A1,1,4,2026-06-05 15:42:00,2026-06-05_15-42_noncompliant.jpg,5,noncompliant,1.0,1.0,0.8,1.0
crew_a,CAM-A1,2,5,2026-06-08 16:27:00,2026-06-08_16-27_noncompliant.jpg,5,noncompliant,0.8,1.0,0.8,1.0
