file,model,class_name,confidence,x1,y1,x2,y2
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,yolo,helmet,0.8549163937568665,0.2994704723358154,0.13464394675360786,0.3820206880569458,0.23849610222710504
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,person,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,helmet,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,vest,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,no-gloves,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,ollama,no-boots,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,person,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,helmet,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,boots,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,qwen3-vl,no-gloves,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemma4,person,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemma4,helmet,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemma4,boots,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemma4,no-gloves,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,gemma4,no-vest,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,minicpm-v,person,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,minicpm-v,helmet,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,minicpm-v,gloves,,,,,
anuragraj03__Nhh_img_193_jpg.rf.2efe1377c575fad6e5632a99ea769798,minicpm-v,no-boots,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,gloves,0.8783174753189087,0.38413190841674805,0.7047311570909288,0.47298393249511717,0.8384620666503906
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,gloves,0.8668569922447205,0.1563594102859497,0.3586503346761068,0.22726831436157227,0.45608868069118924
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,gloves,0.8348011374473572,0.20756893157958983,0.6035840352376302,0.2980902671813965,0.692706807454427
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,yolo,no-gloves,0.6552342772483826,0.6544977188110351,0.33424610561794704,0.7017995834350585,0.4496972401936849
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,ollama,person,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,qwen3-vl,person,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,qwen3-vl,gloves,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,qwen3-vl,no-helmet,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,qwen3-vl,no-boots,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,qwen3-vl,no-vest,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,gemma4,person,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,gemma4,helmet,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,gemma4,gloves,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,gemma4,boots,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,gemma4,vest,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,minicpm-v,person,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,minicpm-v,gloves,,,,,
anuragraj03__PP02img1002_jpg.rf.62e25de0e2eeb6b0861ca6a12222ad20,minicpm-v,boots,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,yolo,no-gloves,0.8594610691070557,0.7280016422271729,0.41526747809516057,0.822911262512207,0.5133345709906684
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,yolo,no-gloves,0.8431733846664429,0.5268473625183105,0.18892635769314237,0.6182481288909912,0.2607763926188151
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,yolo,gloves,0.8414413332939148,0.5501237869262695,0.6433870103624132,0.6100170612335205,0.7911187913682726
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,yolo,no-gloves,0.8305478692054749,0.22532200813293457,0.47190941704644096,0.3296992063522339,0.5866781446668837
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,yolo,gloves,0.8190562129020691,0.6133669376373291,0.7172295464409723,0.7193964004516602,0.8357613457573785
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,yolo,no-gloves,0.7643309831619263,0.3913500547409058,0.2239987055460612,0.4588597297668457,0.298666869269477
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,yolo,no-gloves,0.7317814230918884,0.12708659172058107,0.45390663146972654,0.20465528964996338,0.5952184041341145
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,ollama,person,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,ollama,helmet,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,ollama,boots,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,ollama,vest,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,ollama,no-helmet,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,ollama,no-gloves,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,qwen3-vl,person,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,qwen3-vl,gloves,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,qwen3-vl,no-helmet,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,qwen3-vl,no-boots,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,gemma4,person,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,gemma4,helmet,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,gemma4,gloves,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,gemma4,boots,,,,,
anuragraj03__PP02img471_jpg.rf.1677e50491967a23c5f760cea6600487,gemma4,vest,,,,,
