epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,78.7217,1.8275,2.55289,0.01174,0.51376,0.52416,0.49561,0.21189,1.84101,1.64744,0.01328,0.00994792,0.00331597,0.00994792,0.00331597,0.00994792,0.00331597,0.00994792,0.00331597
2,130.688,1.63966,1.37363,0.01031,0.55435,0.51424,0.4989,0.22262,1.84391,1.54455,0.01312,0.0198821,0.00662736,0.0198821,0.00662736,0.0198821,0.00662736,0.0198821,0.00662736
3,181.125,1.60756,1.24755,0.01017,0.50262,0.46974,0.43686,0.19289,1.90911,1.71788,0.01382,0.0297503,0.00991675,0.0297503,0.00991675,0.0297503,0.00991675,0.0297503,0.00991675
4,229.354,1.60234,1.22232,0.01016,0.50808,0.47837,0.45009,0.1981,1.93834,1.68773,0.01381,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
5,277.91,1.55505,1.09166,0.00978,0.60171,0.50061,0.48679,0.21345,1.95688,1.61996,0.01425,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
6,326.831,1.49645,0.98526,0.00949,0.58325,0.48767,0.47943,0.21168,1.96041,1.66356,0.01425,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
7,375.113,1.4569,0.90279,0.00904,0.54377,0.52423,0.48406,0.2136,2.00887,1.52932,0.01477,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
8,423.402,1.3985,0.83496,0.00852,0.57001,0.52809,0.48427,0.21026,1.99711,1.49997,0.0145,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
9,471.442,1.35195,0.78416,0.00832,0.55375,0.50058,0.45945,0.20157,2.02116,1.75554,0.01508,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
10,519.453,1.30117,0.728,0.00782,0.55923,0.50337,0.45838,0.19775,2.03891,1.74043,0.01509,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
11,567.675,1.26854,0.70458,0.00766,0.5851,0.50604,0.475,0.20439,2.04626,1.67539,0.01492,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
12,615.708,1.22995,0.66859,0.00739,0.61427,0.50154,0.47142,0.20688,2.04104,1.71144,0.01525,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
13,663.619,1.1912,0.62742,0.0071,0.59119,0.54171,0.48798,0.21045,2.05017,1.63387,0.01514,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
14,711.744,1.17263,0.61796,0.00709,0.61641,0.50478,0.48344,0.21042,2.02947,1.72421,0.01495,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571,0.028713,0.009571
15,759.807,1.14897,0.60142,0.00681,0.61635,0.48957,0.45383,0.19451,2.03335,1.84048,0.01491,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
16,808.007,1.11873,0.5793,0.00654,0.62114,0.51718,0.47082,0.20021,2.03507,1.76567,0.01504,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
17,855.946,1.10397,0.5621,0.00646,0.59169,0.4852,0.44739,0.19855,2.02257,1.85592,0.01483,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
18,904.158,1.07249,0.5478,0.0064,0.61121,0.52597,0.47064,0.20322,2.05602,1.74856,0.01478,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439,0.028317,0.009439
19,952.325,1.06217,0.52852,0.00618,0.627,0.49589,0.45964,0.19783,2.04362,1.82338,0.01512,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
20,1000.54,1.03095,0.51616,0.00608,0.62556,0.49163,0.4562,0.20184,2.05111,1.84215,0.01528,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373,0.028119,0.009373
21,1048.49,1.02302,0.51023,0.00591,0.58829,0.52065,0.48156,0.20764,2.05274,1.77021,0.01508,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
22,1096.56,1.0037,0.50002,0.0059,0.63473,0.46764,0.44869,0.19502,2.09764,1.80787,0.01563,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
23,1144.68,0.99373,0.49041,0.00577,0.63817,0.47239,0.44699,0.19393,2.10815,2.00959,0.01595,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
24,1193.12,0.98373,0.48213,0.00574,0.66628,0.46777,0.4614,0.19837,2.06155,1.90407,0.01529,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241,0.027723,0.009241
25,1241.13,0.96975,0.46229,0.0055,0.60994,0.49693,0.46328,0.19792,2.09966,1.96542,0.01576,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
26,1288.97,0.94468,0.45344,0.00545,0.60048,0.49644,0.45128,0.19896,2.08829,1.89215,0.01546,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
27,1336.85,0.9403,0.45273,0.00546,0.58995,0.48955,0.44524,0.20177,2.06945,1.88732,0.01547,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
