file,model,class_name,confidence,x1,y1,x2,y2
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,no-vest,0.8744710087776184,0.7667570590972901,0.0,0.9954558372497558,0.23630046844482422
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,person,0.8418386578559875,0.701119327545166,0.0,1.0,0.47121539115905764
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,no-vest,0.7883720993995667,0.0,0.28536200523376465,0.036576461791992185,0.394812273979187
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,person,0.6239170432090759,0.28892638683319094,3.315210342407227e-05,0.37913146018981936,0.41085400581359866
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,person,0.442347913980484,0.0,0.2135916233062744,0.057445633411407473,0.4669179916381836
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,no-helmet,0.3902445137500763,0.0,0.22082719802856446,0.03157285749912262,0.26482224464416504
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,no-vest,0.35414206981658936,0.288432240486145,0.005086266994476318,0.3504602909088135,0.3452876091003418
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,yolo,helmet,0.34496772289276123,0.0,0.22082719802856446,0.03157285749912262,0.26482224464416504
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,person,,0.7315000057220459,0.0004999999888241291,0.9984999656677246,0.47249999046325686
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,person,,0.0004999999888241291,0.2254999876022339,0.04050000011920929,0.47049999237060547
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,helmet,,0.0004999999888241291,0.2254999876022339,0.028499999642372133,0.26949999332427976
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,gloves,,0.8675000190734863,0.01550000011920929,0.9885000228881836,0.08249999880790711
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,boots,,0.7324999809265137,0.0004999999888241291,0.9984999656677246,0.47249999046325686
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,florence2,vest,,0.7324999809265137,0.0004999999888241291,0.9984999656677246,0.47149996757507323
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,person,,,,,
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,ollama,vest,,,,,
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,person,,,,,
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,gloves,,,,,
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,boots,,,,,
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,qwen3-vl,vest,,,,,
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,gemma4,person,,,,,
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,gemma4,helmet,,,,,
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,gemma4,gloves,,,,,
snehilsanyal-main__000415_jpg.rf.63b7e0293fb53612fdb4695fa0debfb7,gemma4,boots,,,,,
